,Actual,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29
26,89784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,92879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,93680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,95541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,95402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,96726.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,98127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,98899.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,98936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,94642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,95731.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,98144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,98558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,99052.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,99459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,100386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,99326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,63745.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,102145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,68658.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,66863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,66772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,67183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,67459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,68722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,69429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,69798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,71737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,71711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,71788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,74865.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,80013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,77671.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,79153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,87576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,89830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,115264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,110234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,116422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833,115810.40485617833
66,,162026.6493493099,111970.3078621743,109450.94217320609,135637.06841860627,126706.22039987751,158956.43145751776,136488.50678654647,115912.53098202054,131282.42514562613,117496.9633908773,100916.14001541732,113006.87298135132,183538.74163642974,112565.85651827736,101432.7986613474,71156.97414978918,63616.81280330371,103114.88798533202,100978.86633533933,157255.1986552348,114478.87490144002,101028.43821150476,130354.76142989323,117691.89150172452,104183.18996325249,112998.86460267889,97972.46357442492,133175.01042443133,89910.31899827844,118109.74829171137
67,,81460.38191654868,83844.71872918637,129679.70100610811,128263.60833960166,134208.80222030065,119323.79212876364,160332.71686313738,130743.62338745472,80722.19193890627,114771.42374448391,145616.07679286622,118685.3479650988,154522.2542581854,123533.6550943074,122711.74926958166,97237.8975254282,138274.8824287034,132122.02619098237,91712.61481235422,163222.68875581116,116878.68857078002,102017.01424213487,102407.53670346068,138157.0245032813,121061.2504058919,109271.06181455558,117951.837000786,110606.31951615353,95389.29486712515,120021.52095351917
68,,125147.40721068208,103383.82338231007,113489.9489668093,168677.336234208,135193.2192799631,144933.37652208828,148537.86629241274,87796.88319346284,101032.39835378838,100649.36962583367,125809.94442699799,76109.52589745905,116155.73188670413,114047.15205358507,99581.88322729083,119849.58425309096,61755.0163378622,131134.60687197626,108847.86306770063,137424.0603277502,122900.57748065588,82263.76275075937,56741.92374683717,148137.59826178206,106549.46941827491,155661.2341074969,69474.73075617783,147602.39808555527,149583.975163339,93100.64736795677
69,,86847.94822277914,120841.03918681885,153168.77389713743,172563.17286479854,141526.42965120787,178753.93021823687,112915.51842940602,96195.00929495376,125968.40578761791,128802.93470711738,96169.58154243456,37893.19571721039,186828.67506591804,125070.21323085441,137285.39860973455,109088.76837799845,129681.67544466889,84712.91683555243,95562.99284676694,148210.441451558,115411.75741270925,87410.19681024438,85560.13113869714,78157.93004723809,105311.29659372484,149751.05000513987,85569.61511531124,122168.93788468301,99889.79090167157,109631.77623550137
70,,91458.35909136165,141068.52280352984,159590.16040045317,166888.04844862074,151892.41655943,164863.20093754202,123863.67044511224,155000.94426395884,92768.71947235851,114660.13618953731,68523.81730307553,119079.1305559306,177488.40354004543,156440.69219769136,62374.95936674466,95268.91167829794,110952.06464245805,101175.52495201284,74414.75743645403,177853.89449245716,100548.49616470709,86686.23986029877,67338.04976808568,163358.84655152328,90427.82442172742,127978.57888313333,98025.47632241648,195851.70683941667,110804.96171683533,108042.18766738773
