Project,Model,Estimator,MAE,MAPE,RMSE,MSE
digester,ETS,stan-map,540.96,2.06,622.38,387360.27
collections,ETS,stan-map,5731.92,10.67,6561.29,43050462.94
commons-fileupload,ETS,stan-map,339.86,5.99,405.12,164125.79
jxpath,ETS,stan-map,923.97,3.11,1216.44,1479734.82
commons-jelly,ETS,stan-map,104.13,0.24,119.89,14374.45
dbutils,ETS,stan-map,49.76,0.74,54.67,2988.61
cocoon,ETS,stan-map,38757.79,13.9,47021.28,2211000333.41
cayenne,ETS,stan-map,5542.54,2.52,5864.11,34387829.68
hive,ETS,stan-map,96329.26,15.48,109277.39,11941548884.56
bcel,ETS,stan-map,1589.41,2.86,1926.46,3711265.34
zookeeper,ETS,stan-map,1518.5,2.39,1653.7,2734729.63
felix,ETS,stan-map,27471.44,11.41,31182.02,972318177.59
beanutils,ETS,stan-map,717.74,1.26,999.03,998053.9
commons-cli,ETS,stan-map,1099.92,13.99,1173.52,1377145.95
commons-exec,ETS,stan-map,214.88,4.01,266.4,70968.46
net,ETS,stan-map,719.18,2.41,969.84,940584.16
batik,ETS,stan-map,29111.44,25.7,39338.36,1547506399.48
ognl,ETS,stan-map,227.81,0.84,261.09,68165.78
santuario,ETS,stan-map,4161.41,3.42,5125.64,26272232.79
daemon,ETS,stan-map,46.15,1.14,53.13,2822.59
commons-jexl,ETS,stan-map,2484.81,16.08,2939.48,8640557.27
httpcore,ETS,stan-map,2971.79,3.93,4323.06,18688853.82
thrift,ETS,stan-map,834.55,4.0,917.84,842424.11
configuration,ETS,stan-map,2297.8,5.31,3108.39,9662105.25
commons-io,ETS,stan-map,5448.53,14.92,7115.1,50624644.85
httpclient,ETS,stan-map,20946.14,33.55,22034.6,485523546.43
archiva,ETS,stan-map,14359.07,14.65,21164.83,447949863.44
validator,ETS,stan-map,840.1,5.06,1074.49,1154530.84
dbcp,ETS,stan-map,482.98,3.41,684.98,469200.84
codec,ETS,stan-map,1199.58,7.08,1438.09,2068109.41
vfs,ETS,stan-map,767.25,2.79,1236.61,1529203.16
