,Actual,Simulated_0,Simulated_1,Simulated_2,Simulated_3,Simulated_4,Simulated_5,Simulated_6,Simulated_7,Simulated_8,Simulated_9,Simulated_10,Simulated_11,Simulated_12,Simulated_13,Simulated_14,Simulated_15,Simulated_16,Simulated_17,Simulated_18,Simulated_19,Simulated_20,Simulated_21,Simulated_22,Simulated_23,Simulated_24,Simulated_25,Simulated_26,Simulated_27,Simulated_28,Simulated_29
48,86737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,86801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,86820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,87028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,93502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,93796.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,89749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,90464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,92390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,93631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,93680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,93906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,95541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,94815.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,95402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,95320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,95238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,95242.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,98147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,98260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,99160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,98578.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,97997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,98936.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,93853.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,94642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,94400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,95065.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,95731.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,95721.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,98144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,98351.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,98558.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,98826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,98997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,99275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,99498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,100386.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,100370.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,101699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,66814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,63783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,101286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,102145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,68782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,68658.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,68829.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,66863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,66675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,66772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,67199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,67191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,67183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,67275.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,67367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,67459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,68090.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,68722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,68966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,69429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,69747.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,69831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,71028.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,71382.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,71737.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,71728.33333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,71719.66666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,71711.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,71722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,71788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,74380.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,74925.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,79608.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,78637.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,77667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,77673.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,76713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,79081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,81644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,89318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,89301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,89690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,90204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,108851.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,110243.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,110861.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,121632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,117762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546,116578.30200150546
137,,118744.0667121231,107210.22395055358,113706.93690651347,114341.15142652411,100375.56470707408,122809.80215595009,97245.48781503245,121359.30507035114,121189.23417999424,111555.13860445656,116002.31354165335,112471.23865215247,128326.84713463699,113340.20724966963,108296.21459093431,127413.26752282713,121817.1572483904,133099.90925411845,125521.7293980099,109334.46031551047,109916.48822894045,124716.78740686965,113595.84121199079,117325.42247195692,100347.45031888485,110883.83970285935,118010.81029362696,129485.98512919476,123293.14596855715,108641.23728741419
138,,121600.15429292673,128032.48697540237,128479.47446022075,126530.50885720644,103935.87002026402,120671.87139696463,121043.7209965234,103645.22919179623,121177.24032233286,142008.71716159006,114063.89624624123,124839.00831848576,119876.59193268746,125521.702906851,99223.63192614107,128855.54480268213,115434.11356712153,142810.8265435919,126970.44790493185,126795.17413833782,125141.12702447285,139530.221122152,116138.09537041662,127995.9471976854,80167.94693900643,116089.92844614139,118071.98904630078,122019.545073082,111004.46441152824,135834.14679654705
139,,115905.96243769245,137641.7344969104,95401.9154054389,130285.68857652255,113995.9756086113,125943.14545313697,120349.29478555977,77460.56749610882,146545.72389800678,143349.88502328188,113777.95900355239,139089.00290264428,102668.73648839096,143149.39181765317,94732.88694501584,113567.2177511776,115827.49449665599,124734.39108895688,110220.87508170634,122938.47388126927,121729.87365086154,144684.34661327055,97762.73631772476,114214.344063262,101146.62570560067,84738.68531972043,132752.07998386206,117767.77304191556,128952.39594090177,116944.00917312942
140,,110387.36194358466,131881.0643469712,92500.93650045856,127076.7114292303,102481.18459086733,126548.52278971866,119394.76030603047,96260.95724440894,131484.66932185064,125733.62545564062,87804.17269857108,138503.8272698572,101618.36250617704,141499.80971178148,113045.10630137751,119186.7133127233,125933.63440088209,145964.71114570665,84382.90241041948,144583.93717411126,110681.20937723608,125889.32021577624,100495.19642096825,104628.44899605562,105269.42494064535,97381.69346665779,123137.2201142885,104913.21193663607,107975.96736347768,137768.92640859002
141,,87263.45292842519,135233.8720914911,88911.15072659621,139754.57112328606,105016.69714312408,136619.67654281826,119724.04300422568,75433.28286644377,147221.34185642857,91784.92639777264,84404.86727467341,119686.61434232237,80877.71460553966,144305.07769692276,102770.1341770507,123772.44941593106,104528.20261195148,142716.1575218591,86714.1050628359,126914.81774240229,110331.64632032062,120105.33109010772,63268.966540522415,124438.54759081564,96107.63787561283,99167.38764174818,123917.39452459212,128509.85656790664,98978.28855547523,126887.45538008751
142,,93014.49967943483,153319.3239147891,80965.46816691777,125525.86300085878,89769.82992887209,131347.45415138328,115957.24567596713,63324.13706007381,130269.90117495111,94975.42215975758,81781.93553197267,124885.62193965321,88630.14543894307,141349.1259839869,108214.68796043006,88773.26336546669,133216.5712862119,135707.80830759302,63621.213148743074,132946.3155020146,100089.52504762555,144473.29416823533,65222.05276040366,128530.9574976194,102078.29245993914,103209.83441344321,131242.45304371405,124291.19961590283,99990.15284695406,138093.78176712382
143,,79996.43689284989,153563.37061307923,75395.4569804506,142385.65991436533,67969.31710619846,117049.76018416803,101287.99144744672,68080.62059473796,132268.31154992932,106114.02723513987,71457.62654343602,113794.02595649038,94349.19458920532,126596.92175806324,81317.53880678746,64779.438168314286,117998.72553753076,143418.1494132287,62874.01526972514,131171.95303469175,127752.25651234687,144065.2102099336,85332.44050885773,116383.62459986916,124621.82535804344,98167.48743378556,141320.28569464132,116768.73138318956,105182.30738126743,137919.25865089495
144,,79705.96734681368,156319.2480837209,83352.16280994004,147382.30583669027,73638.68993696547,123561.58887390578,108200.56917973887,48819.537711206736,140245.63781833326,92380.29225957314,84488.48214564627,141871.13342067596,89364.92271035723,118176.46187589887,116224.34127507545,78068.74935275875,100731.2045863772,138770.2240014547,68003.72501606135,133374.64674592332,105706.13934755827,135776.62353298443,82672.0299686772,136634.2064560352,127582.47213042536,102283.85744372854,133047.61138836446,147592.40694799938,89796.54383245789,126764.52350712188
145,,72185.72636335786,154492.2469130334,75402.33890270012,136364.4533495355,81933.48979713247,114131.30292372525,111882.35525581826,58084.70640471447,145366.11956875958,96382.32752773401,77720.18350036687,134538.2240052821,91625.64732465442,135286.98446266257,94564.38156802733,86301.92718118585,100826.41435907394,139832.36264753446,65863.73965287345,130341.2110333154,124294.36368152213,118390.8069747504,86871.22843764283,123122.42251125284,132993.86018808678,94038.97068182353,153416.514481651,136346.8949316924,76295.07694213552,145102.0393402752
146,,77626.85141314311,155733.6840416213,89812.37923416893,136606.5137657673,70891.15914689309,96991.53022731762,125725.46661129358,79971.52797459249,158114.77442490286,110846.41757237556,67339.52851409036,115160.17203470555,76411.09131956252,132843.67689851855,89589.50506567297,91521.34941559871,97274.05113239642,150275.05492683165,97663.351133076,125791.71376912926,139839.66041544077,115017.58432126076,101088.38971370344,118880.7211386067,136112.05577559114,106378.34619620536,136242.75905033783,114504.57493852761,76905.69274598165,146807.2174106964
147,,58508.8405944988,140250.19673350354,108767.535276977,141213.78289250578,74546.4064003649,108290.51242559028,138214.93470748287,59124.282575108475,163055.6146890486,72303.77625143167,82325.39385799368,111396.53138391965,102185.25006542561,146170.64607737015,95388.670701217,88601.62705811586,85596.16744384363,158370.12705879516,75439.73668794241,143840.00896267526,129660.56590352046,119691.28947447916,80036.01559209585,110205.16131844673,133347.4101029862,87167.12989890986,140375.6987575588,121346.32182356698,83625.82324607835,136754.74707403526
148,,51897.40057382723,149992.58492573016,113604.49767405394,132392.11789836257,70059.99638814283,81182.38764976393,114201.65454683072,82757.8012301009,187732.85299748677,88741.58477298959,61961.12710695534,118066.24632067207,114690.2352703174,131891.32057792126,79408.64047618973,81025.06792920116,90279.24638111057,151798.8667628338,71087.59521984625,142991.87983350552,123157.79860421171,105622.39513540559,62481.06177232636,121751.97701129995,128814.42642886192,96969.76345779124,136345.76939652886,125153.205682279,90385.95659951027,135047.8068642714
149,,44590.05113035091,122709.03754043978,115606.52344333149,138102.47778942753,66292.40680540886,95003.79080859404,106976.29636808319,82040.88852310757,163940.7559123334,55861.86724188908,68965.10728999025,143311.78952061135,82808.45657096051,137887.40357991014,85228.62616862162,72460.0334385602,96105.54152524284,138986.96245000872,66990.20193507838,140870.82543387733,134180.01109388872,96411.1103880665,70181.00002884725,134684.2175698607,150584.82201262057,104436.33267352343,143409.76545961565,116220.37226126851,96563.5292092064,127685.48107542393
150,,32583.571019553914,135074.27804299776,119326.47196559173,160842.7535965501,65469.193382536316,91259.11969369151,127647.3578846375,62279.08107390584,161811.0110738394,73206.65649970558,61792.8840453325,132029.9573218833,75940.09648445314,128346.49108705857,83207.47424074303,74276.15209590965,91272.7422203778,151377.66527234926,70209.53367143602,135048.60212500027,148746.77320924087,96859.63645848037,87159.30297708366,119522.90276274992,139661.80581443003,106610.21586819939,136201.8093861289,119161.69082758261,79077.66465744996,137295.78537786816
151,,10022.888851409643,129208.54433686422,103241.6002497974,148971.4008244209,44329.630313767106,99330.96440060457,110693.58907538455,88932.69564906295,164169.16704657476,59186.246507398166,79675.63576311586,133464.82639410743,88383.19633991628,145426.65872895028,84314.59524454588,88501.79405866843,62992.41076968435,145453.20218914977,60067.37041332517,138652.76989364528,155911.3128877139,84385.35124802936,74494.01885045337,119773.14389377121,145280.641488975,111117.36725088504,119203.40391193495,109804.0141791962,83455.72336400919,131225.92476397596
152,,15800.585568147686,133800.02964324912,111233.26909326436,150051.64345829128,46413.40295247531,109081.96390923782,118911.45916598813,58275.900195412694,155817.36299735314,68381.06257868635,80167.05528746534,127495.10643536657,85224.79186283144,146715.3898111538,100991.85752892151,84955.49382432214,87029.8100680362,144076.50168716215,65222.55744785858,143194.34147826757,166046.24618290045,94551.46972296372,81813.5285367023,111166.10286682514,137889.7501660103,97220.51466887008,123424.20262902507,130378.47229500147,86252.49614949997,130548.63429039546
153,,23393.900716685865,114370.71259117924,123341.09477972299,152808.86963362945,51314.11618024934,95664.3981824332,141761.89733601033,46435.92355470648,174784.96309015478,59464.68211599028,76643.43631779021,119624.73198059067,80613.85785727423,146328.85294646252,113898.33277189064,71971.61070408582,104634.46112680825,135680.81363355386,67249.4000947051,136626.96035901504,180684.85115511352,97746.15536599836,70571.24575260475,120435.77992208349,151221.59219059485,127574.98285085571,114968.86668895444,132174.8581511954,91884.08882724632,133849.04637129526
154,,12264.161421792305,108878.47520873389,117685.0049283789,137135.76539797976,61026.11691984324,120352.8527601455,126752.50272126177,77483.8947597736,142922.9302280382,65436.5356195664,69308.13584408333,96408.95289729623,83129.32749845223,130555.49778405907,106554.18698017037,93731.87007658291,98885.50679850772,130036.80822292222,48208.270041159994,122412.9668124998,166255.47146433193,80528.5615741428,78666.23981513339,113319.06407682244,148507.23226307513,123353.25743234795,109483.90671418219,123123.64778278675,85635.99565848729,121576.25247721997
155,,17161.261893542694,98949.28032251452,113713.29332440003,119103.5028401391,74021.63166611972,139871.43457201103,143386.0493558102,52223.86097666645,149411.16579513813,102358.65008399569,55659.12250771945,108230.43430696163,69135.9794515965,121024.91505375579,123555.43054947119,90010.725525113,115331.1878669164,139917.60044009483,35235.57872750498,113368.95202632743,168357.37677867064,71859.14038686546,71513.67616515224,112216.11813032288,143123.4416699571,121433.21052714872,123862.60029373452,96224.1942495605,73835.02032937342,129209.11632536279
156,,32708.74047281301,111599.65996528945,97612.30600179317,129967.85776665263,73788.66135446269,102761.73686921335,142994.97965525638,54045.42218141218,169649.08494280634,122281.0066519614,70635.6624091419,117935.1664850292,64683.74972216979,137440.88071516142,105253.1926892113,89573.71873509146,130533.8195582106,115800.16786967755,68591.40266547073,102493.66563634168,164944.98306088476,81911.82733192347,78462.3836232855,112642.37018401719,153880.16451294866,131815.96513704112,99469.64621309581,118607.67853674016,69391.76510755188,101365.40359511857
157,,27654.179465538116,106583.04595479196,118564.35146945645,117816.98465803631,75715.66273870206,76645.20462189068,165607.34508072244,38972.780655832015,162532.65700738953,108011.22406693392,62859.47867260331,112871.09858888325,59960.611165422204,116037.11485532913,85044.20463097481,107472.23437514297,142425.8643450679,153089.42505268566,60204.315862160416,86810.16776795036,167912.40473974103,96424.65153815552,87595.64724469976,96419.8255785834,149366.07046887645,133292.05202064765,140006.96504450424,136674.64591017173,77156.35215462533,95458.80267227336
158,,47621.64710053311,118368.56220678827,113635.33255096973,116502.0005876884,69512.23139154566,89299.56717307986,147367.38988793935,39104.522061674856,171778.3156472933,101297.03757246785,67413.18318537592,105691.80475433817,89491.88020409226,118872.34222518928,98431.88058914304,95036.7392217904,145685.56282588872,135755.1494679876,67125.82938905971,81840.1547065471,151367.24547888443,89122.45607200637,85202.60340189662,98784.14903184334,141826.2967459857,148948.88182508163,136880.00078082326,112323.12500342676,52335.873404932296,107201.3289097316
159,,29459.954705867945,114083.24491556956,100154.41500392662,142074.166389452,60166.494997927904,69569.05078959589,162666.72205868224,43781.497840586075,176995.33458254547,86178.13495294466,59777.73805815904,104168.58810853108,92920.8214021811,102927.67968777713,94325.51438374764,100674.38928228318,126178.55505160971,130652.48651844347,54707.17879741093,79836.70156523181,154018.55270604862,96921.74948169243,103792.69457809403,107082.42755002082,147267.67160318245,155474.62547833187,125023.07938856517,125617.07655797794,51790.468428335254,95541.24502648998
