,SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
353,0,2005-11-28 03:15:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,280,2005-11-29 01:34:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,285,2005-11-29 02:25:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,323,2005-11-29 03:11:23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
357,347,2005-11-29 04:01:17,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0
358,418,2005-11-29 04:32:11,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0
359,554,2005-11-29 04:56:46,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0
360,622,2005-11-29 05:15:31,0,0,0,0,0,0,0,2,0,0,0,0,0,16,0
361,745,2005-11-29 05:36:41,0,0,0,0,0,0,0,2,0,0,0,0,0,22,0
362,785,2005-11-29 07:49:48,0,0,0,0,0,0,0,2,0,0,0,0,0,24,0
363,819,2005-11-29 08:34:32,0,0,0,0,0,0,0,2,0,0,0,0,0,26,0
364,853,2005-11-29 08:46:45,0,0,0,0,0,0,0,2,0,0,0,0,0,28,0
365,913,2005-11-29 10:22:35,0,0,0,0,0,0,0,2,0,0,0,0,0,28,0
366,995,2005-11-29 10:38:58,0,0,0,0,0,0,0,2,0,0,0,0,0,28,0
367,1095,2005-11-29 10:53:28,0,0,0,0,0,0,0,2,0,0,0,0,0,32,0
368,1214,2005-12-01 01:35:02,0,0,0,0,0,0,2,2,0,0,0,0,0,32,0
369,1364,2005-12-01 02:05:03,0,0,0,0,0,0,4,4,0,0,0,0,0,32,0
370,1319,2005-12-01 02:14:40,0,0,0,0,0,0,4,4,0,0,0,0,0,32,0
371,1461,2005-12-01 08:28:12,0,0,0,9,1,0,4,2,0,0,0,0,0,32,0
372,1594,2005-12-02 01:38:08,0,0,0,9,1,0,4,2,0,1,0,0,0,32,0
373,2408,2005-12-02 06:41:24,0,0,0,9,0,0,4,2,0,1,0,0,0,32,0
374,2824,2005-12-05 01:20:32,0,0,0,10,1,0,7,2,0,1,1,0,0,32,0
375,1810,2005-12-05 01:41:43,0,0,0,10,1,0,9,3,0,1,1,0,0,32,0
376,1923,2005-12-05 07:12:35,0,0,0,1,0,0,6,4,0,0,1,0,0,32,0
377,1923,2005-12-05 08:00:48,0,0,0,1,0,0,6,4,0,0,1,0,0,32,0
378,1975,2005-12-05 09:00:34,0,0,0,1,0,0,6,4,0,0,1,0,0,32,0
379,2297,2005-12-05 09:15:17,0,0,0,1,0,0,7,5,0,0,1,0,0,32,0
380,2325,2005-12-06 05:55:45,0,2,0,1,0,0,7,7,0,0,3,0,0,35,6
381,2993,2005-12-06 10:09:13,0,2,0,1,1,0,7,8,0,0,4,0,0,35,6
382,3564,2005-12-07 02:57:16,0,2,0,1,1,0,6,8,0,0,4,0,0,35,7
383,3367,2005-12-07 05:45:43,0,2,0,1,1,0,6,8,0,0,4,0,0,35,7
384,3699,2005-12-07 06:06:27,0,2,0,1,1,0,5,8,0,0,4,0,0,37,12
385,3692,2005-12-07 06:31:29,0,2,0,1,1,0,5,8,0,0,4,0,0,37,12
386,3699,2005-12-07 07:06:30,0,2,0,1,1,0,5,8,0,0,4,0,0,37,12
387,3838,2005-12-08 00:19:59,0,2,0,1,1,0,5,9,0,0,4,0,0,39,15
388,3842,2005-12-09 02:18:36,0,2,0,1,1,0,5,9,0,0,4,0,0,39,19
389,3882,2005-12-10 02:00:13,0,2,0,1,1,0,9,9,0,0,4,0,0,39,20
390,4540,2005-12-12 08:09:34,0,2,0,2,1,0,15,9,0,0,4,0,0,39,20
391,4291,2005-12-13 07:52:22,0,2,0,2,1,0,15,9,0,0,4,0,0,39,19
392,4339,2005-12-13 23:55:33,0,2,0,1,1,0,15,9,0,0,4,0,0,40,20
393,4803,2005-12-14 08:51:08,0,2,0,1,1,0,15,9,0,0,4,3,0,42,6
394,4805,2005-12-19 03:04:49,0,2,0,1,1,0,15,9,0,0,4,3,0,42,6
395,5356,2005-12-19 03:07:55,0,2,0,1,1,0,15,9,0,0,4,3,0,44,8
396,5706,2005-12-21 01:54:19,0,4,0,1,1,0,20,9,0,0,4,4,0,44,8
397,5690,2005-12-21 09:01:32,0,6,0,2,1,0,21,9,0,0,4,4,0,44,8
398,5679,2005-12-22 05:53:53,0,6,0,2,1,0,21,9,0,0,4,3,0,44,8
399,5591,2005-12-22 06:37:47,0,5,0,2,1,0,18,9,0,0,4,3,0,44,8
400,5437,2005-12-22 07:58:42,0,5,0,3,1,0,18,9,0,0,4,3,0,44,8
401,5556,2005-12-22 08:38:32,0,5,0,3,1,0,18,9,0,0,4,3,0,44,8
402,6103,2005-12-23 03:35:42,0,5,0,4,1,0,18,9,0,0,4,3,0,44,8
403,6607,2005-12-23 07:06:14,0,5,0,4,1,0,33,9,0,0,4,3,0,45,8
404,6607,2005-12-27 02:34:36,0,5,0,3,1,0,33,9,0,0,4,3,0,45,8
405,6588,2005-12-27 09:17:22,0,6,0,3,1,0,33,9,0,1,4,3,0,44,9
406,6563,2005-12-27 09:39:08,0,6,0,3,1,0,30,9,0,1,4,3,0,44,9
407,6484,2005-12-30 04:37:28,0,6,0,3,1,0,15,9,0,1,4,3,0,42,9
408,5674,2005-12-30 04:52:59,0,6,0,0,1,0,0,10,0,1,4,3,0,42,9
409,5639,2005-12-30 05:10:15,0,6,0,0,1,0,0,10,0,1,4,3,0,42,9
410,5446,2005-12-30 06:14:41,0,12,0,0,1,0,0,10,0,1,4,3,0,42,8
411,5513,2005-12-30 06:32:47,0,12,0,0,1,0,0,10,0,1,4,3,0,41,8
412,5108,2005-12-30 06:42:13,0,12,0,0,1,0,0,10,0,1,4,3,0,41,8
413,6024,2005-12-30 08:24:41,0,13,0,0,1,0,0,11,0,1,4,3,0,0,8
414,5425,2005-12-30 08:47:19,0,12,0,0,0,0,13,10,0,1,4,3,0,0,4
415,5511,2005-12-30 20:11:56,0,12,0,0,0,0,13,10,0,1,4,3,0,0,4
416,5436,2005-12-30 21:22:12,0,12,0,0,0,0,13,10,0,1,4,3,0,0,4
417,5487,2005-12-30 21:46:08,0,11,0,0,0,0,13,10,0,1,4,0,0,0,0
418,5597,2006-01-01 02:55:24,0,11,0,0,0,0,13,12,0,1,4,0,0,0,0
419,5724,2006-01-01 02:57:59,0,11,0,0,0,0,13,13,0,1,4,0,0,0,1
420,5679,2006-01-03 06:03:51,0,8,0,0,0,0,0,10,0,1,4,0,0,0,1
421,5692,2006-01-03 09:34:00,0,8,0,0,0,0,2,10,0,1,4,0,0,0,1
422,5684,2006-01-03 09:55:29,0,8,0,0,0,0,2,10,0,1,4,0,0,0,1
423,5439,2006-01-04 02:27:06,0,8,0,0,0,0,2,10,0,1,4,0,0,0,1
424,5374,2006-01-04 03:09:05,0,8,0,0,0,0,2,10,0,1,4,0,2,0,1
425,5368,2006-01-05 07:20:26,0,8,0,0,0,0,4,10,0,1,4,0,2,0,1
426,6190,2006-01-05 08:00:17,0,8,0,0,0,0,0,10,0,1,4,0,2,0,1
427,6749,2006-01-06 07:19:12,0,8,0,0,0,0,0,12,0,3,6,0,2,3,2
428,5769,2006-01-09 01:47:23,0,8,0,0,0,0,0,12,0,3,6,0,2,3,2
429,5729,2006-01-09 03:27:30,0,8,0,0,0,0,0,12,0,3,6,0,0,0,1
430,5489,2006-01-09 04:56:15,0,10,0,0,0,0,0,12,0,3,6,0,0,0,1
431,5949,2006-01-09 08:05:46,0,11,0,0,0,0,0,12,0,3,6,0,0,0,1
432,5929,2006-01-15 00:30:24,0,11,0,0,0,0,1,12,0,3,6,0,0,0,1
433,5962,2006-01-15 21:34:03,0,12,0,0,0,0,1,10,0,3,6,0,0,0,1
434,5872,2006-01-15 22:55:09,0,12,0,0,0,0,1,10,0,3,6,0,0,0,1
435,6195,2006-01-16 03:39:15,0,12,0,0,0,0,1,11,0,3,6,0,0,0,1
436,7073,2006-01-16 08:53:09,0,12,0,0,0,0,1,11,0,5,6,0,0,3,1
437,7144,2006-01-17 03:24:59,0,12,0,0,0,0,1,11,0,5,6,3,0,3,1
438,7216,2006-01-20 03:09:04,0,16,0,0,0,0,1,12,0,5,6,3,0,3,3
439,7298,2006-01-20 08:22:33,0,16,0,0,0,0,2,12,0,7,6,3,0,3,3
440,7280,2006-01-23 07:27:58,0,16,0,0,0,0,1,10,0,8,6,3,0,3,3
441,7378,2006-01-25 07:04:13,0,16,0,0,0,0,1,10,0,8,6,3,0,3,3
442,7199,2006-01-27 04:35:37,0,16,0,0,0,0,1,10,0,8,6,0,0,3,3
443,7211,2006-01-27 04:48:19,0,16,0,0,0,0,1,10,0,8,6,0,0,3,3
444,7482,2006-01-27 05:30:30,0,16,0,0,0,0,1,10,0,8,6,0,0,3,3
